"시도별","품목별","항목","단위","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","자동차검사료","소비자물가지수[2020=100]","2020=100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","108.229","112.812","70.761","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","91.701","95.159","100","100","100","100","100","100","100",
"전국","국내항공료","소비자물가지수[2020=100]","2020=100","109.98","108.92","123.93","111.14","107.03","102.28","7.831","10.117","9.694","10.844","12.982","21.004","26.553","28.85","29.971","29.971","31.114","30.572","30.311","30.311","30.311","30.491","36.829","39.736","42.332","42.332","42.332","40.974","40.459","51.815","53.536","61.201","66.666","73.759","73.886","77.541","80.588","80.139","80.427","88.521","81.696","83.355","90.024","94.551","99.421","99.835","93.031","91.108","95.661","99.889","101.038","100","101.96","113.18","110.27",
"전국","여객선료","소비자물가지수[2020=100]","2020=100","117","116.36","117.49","116.48","114.91","112.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.259","74.944","75.811","80.205","82.626","85.224","88.533","94.997","91.406","91.028","93.046","92.446","94.019","94.687","95.517","100","100.27","109.2","113.88",
"전국","이삿짐운송료","소비자물가지수[2020=100]","2020=100","124.78","125.02","125.19","125.64","125.77","126.21","","","","","","","","","","","","","","","","33.722","36.331","39.63","45.56","48.523","51.153","55.258","58.802","62.174","61.538","59.911","58.832","59.302","59.387","57.529","55.881","56.766","58.126","60.044","60.975","62.99","69.72","74.283","78.158","83.045","87.914","90.694","92.785","95.831","98.064","100","105.88","112.87","117.19",
"전국","택배이용료","소비자물가지수[2020=100]","2020=100","112.13","112.13","112.13","112.33","113.77","114.39","","","","","","","","","","","","","","","","","","","","","","","","","","117.079","112.591","111.206","109.616","102.767","99.187","96.872","92.268","90.202","89.954","89.078","89.189","89.052","93.735","97.389","97.417","97.855","97.241","97.136","98.618","100","105","109.99","112.13",
"전국","휴대전화기수리비","소비자물가지수[2020=100]","2020=100","106.34","106.34","106.34","106.34","106.34","106.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.916","89.081","93.36","94.781","96.83","100","94.42","94.71","98.46",
"전국","컴퓨터수리비","소비자물가지수[2020=100]","2020=100","165.07","178.77","178.77","165.07","165.07","165.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.3","97.284","97.284","100","100","100","110.85","113.7","116.21",
"전국","반려동물관리비","소비자물가지수[2020=100]","2020=100","110.57","110.65","110.71","110.9","111.2","111.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.372","75.907","76.956","79.06","85.199","86.522","92.129","94.531","96.175","97.324","97.898","99.857","100.873","102.409","100.476","100","100.56","102.63","107.22",
"전국","수영장이용료","소비자물가지수[2020=100]","2020=100","109.54","109.66","109.96","109.96","110.74","110.74","","","","","","","","","","","","","","","","","","","","","53.972","57.191","59.683","63.226","63.46","64.77","67.08","68.602","70.453","71.91","73.611","75.261","75.911","77.39","80.021","82.271","84.225","85.707","86.829","90.083","91.338","93.593","94.337","95.789","98.877","100","101.15","102.85","106.7",
"전국","볼링장이용료","소비자물가지수[2020=100]","2020=100","106.86","107.09","107.13","107.19","107.33","107.47","","","","","","","","","","","","","","","","","","","","","55.596","57.013","58.871","59.76","58.769","54.512","55.125","56.388","60.259","62.962","64.667","65.837","67.679","70.718","72.814","74.317","77.735","80.288","83.484","87.248","89.877","92.079","95.096","97.952","99.909","100","99.9","101.53","104.73",
